Run 14942
Subrun 10
Event 100011
28.18 8.25 40.65
28.18 -10.95 45.15
28.18 10.65 40.65
28.18 -6.15 45.15
28.18 -10.95 67.65
28.18 1.05 72.15
28.18 3.45 72.15
28.18 -1.35 9.15
28.18 -6.15 27.15
28.18 -6.15 13.65
28.18 -10.95 54.15
28.18 -6.15 36.15
28.18 -8.55 45.15
28.18 1.05 9.15
31.98 -10.95 45.15
28.82 7.05 40.65
28.82 9.45 40.65
28.82 -7.35 45.15
28.82 -12.15 67.65
28.82 -0.15 72.15
28.82 2.25 72.15
28.82 -2.55 9.15
28.82 -7.35 27.15
28.82 -7.35 13.65
28.82 -12.15 54.15
28.82 -7.35 36.15
28.82 -9.75 45.15
28.82 -0.15 9.15
28.82 -9.75 54.15
29.22 6.75 40.65
29.22 9.15 40.65
29.22 -7.65 45.15
29.22 -12.45 67.65
29.22 -0.45 72.15
29.22 1.95 72.15
29.22 -2.85 9.15
29.22 -7.65 27.15
29.22 -7.65 13.65
29.22 -12.45 54.15
29.22 -7.65 36.15
29.22 -10.05 45.15
29.22 -0.45 9.15
29.22 -10.05 54.15
29.36 6.45 40.65
29.36 -7.95 45.15
29.36 -12.75 67.65
29.36 -0.75 72.15
29.36 1.65 72.15
29.36 -3.15 9.15
29.36 -7.95 27.15
29.36 -7.95 13.65
29.36 -12.75 54.15
29.36 -7.95 36.15
29.36 -10.35 45.15
29.36 -0.75 9.15
29.36 -10.35 54.15
29.36 -12.75 45.15
28.7 6.15 40.65
28.7 8.55 40.65
28.7 -8.25 45.15
28.7 -13.05 67.65
28.7 -1.05 72.15
28.7 1.35 72.15
28.7 -3.45 9.15
28.7 -8.25 27.15
28.7 -8.25 13.65
28.7 -13.05 54.15
28.7 -8.25 36.15
28.7 -10.65 45.15
28.7 -1.05 9.15
28.7 -10.65 54.15
27.7 8.25 40.95
27.7 -10.95 45.45
27.7 10.65 40.95
27.7 -6.15 45.45
27.7 -10.95 67.95
27.7 1.05 72.45
27.7 3.45 72.45
27.7 -1.35 9.45
27.7 -6.15 27.45
27.7 -6.15 13.95
27.7 -10.95 54.45
27.7 -6.15 36.45
27.7 -8.55 45.45
27.7 1.05 9.45
32.04 -10.95 45.45
28.86 7.05 40.95
28.86 9.45 40.95
28.86 -7.35 45.45
28.86 -12.15 67.95
28.86 -0.15 72.45
28.86 2.25 72.45
28.86 -2.55 9.45
28.86 -7.35 27.45
28.86 -7.35 13.95
28.86 -12.15 54.45
28.86 -7.35 36.45
28.86 -9.75 45.45
28.86 -0.15 9.45
28.86 -9.75 54.45
29.08 6.75 40.95
29.08 9.15 40.95
29.08 -7.65 45.45
29.08 -12.45 67.95
29.08 -0.45 72.45
29.08 1.95 72.45
29.08 -2.85 9.45
29.08 -7.65 27.45
29.08 -7.65 13.95
29.08 -12.45 54.45
29.08 -7.65 36.45
29.08 -10.05 45.45
29.08 -0.45 9.45
29.08 -10.05 54.45
29.34 6.45 40.95
29.34 -7.95 45.45
29.34 -12.75 67.95
29.34 -0.75 72.45
29.34 1.65 72.45
29.34 -3.15 9.45
29.34 -7.95 27.45
29.34 -7.95 13.95
29.34 -12.75 54.45
29.34 -7.95 36.45
29.34 -10.35 45.45
29.34 -0.75 9.45
29.34 -10.35 54.45
29.34 -12.75 45.45
28.98 6.15 40.95
28.98 -8.25 45.45
28.98 -13.05 67.95
28.98 -1.05 72.45
28.98 1.35 72.45
28.98 -3.45 9.45
28.98 -8.25 27.45
28.98 -8.25 13.95
28.98 -13.05 54.45
28.98 -8.25 36.45
28.98 -10.65 45.45
28.98 -1.05 9.45
28.98 -10.65 54.45
27.08 6.15 40.95
27.08 -13.05 45.45
27.08 8.55 40.95
27.08 -8.25 45.45
27.08 -13.05 67.95
27.08 -1.05 72.45
27.08 1.35 72.45
27.08 -3.45 9.45
27.08 -8.25 27.45
27.08 -8.25 13.95
27.74 8.25 41.25
27.74 -10.95 45.75
27.74 10.65 41.25
27.74 -6.15 45.75
27.74 -10.95 68.25
27.74 1.05 72.75
27.74 3.45 72.75
27.74 -1.35 9.75
27.74 -6.15 27.75
27.74 -6.15 14.25
27.74 -10.95 54.75
27.74 -6.15 36.75
27.74 -8.55 45.75
27.74 1.05 9.75
27.74 -8.55 54.75
28.7 7.05 41.25
28.7 9.45 41.25
28.7 -7.35 45.75
28.7 -12.15 68.25
28.7 -0.15 72.75
28.7 2.25 72.75
28.7 -2.55 9.75
28.7 -7.35 27.75
28.7 -7.35 14.25
28.7 -12.15 54.75
28.7 -7.35 36.75
28.7 -9.75 45.75
28.7 -0.15 9.75
28.7 -9.75 54.75
28.7 -12.15 45.75
29.34 6.75 41.25
29.34 9.15 41.25
29.34 -7.65 45.75
29.34 -12.45 68.25
29.34 -0.45 72.75
29.34 1.95 72.75
29.34 -2.85 9.75
29.34 -7.65 27.75
29.34 -7.65 14.25
29.34 -12.45 54.75
29.34 -7.65 36.75
29.34 -10.05 45.75
29.34 -0.45 9.75
29.34 -10.05 54.75
29.34 -12.45 45.75
31.54 -7.65 36.75
31.54 -12.45 45.75
29.46 -7.95 45.75
29.46 -12.75 68.25
29.46 -0.75 72.75
29.46 1.65 72.75
29.46 -3.15 9.75
29.46 -7.95 27.75
29.46 -7.95 14.25
29.46 -12.75 54.75
29.46 -7.95 36.75
29.46 -10.35 45.75
29.46 -0.75 9.75
29.46 -10.35 54.75
29.46 -12.75 45.75
29.04 -8.25 45.75
29.04 -13.05 68.25
29.04 -1.05 72.75
29.04 1.35 72.75
29.04 -3.45 9.75
29.04 -8.25 27.75
29.04 -8.25 14.25
29.04 -13.05 54.75
29.04 -8.25 36.75
29.04 -10.65 45.75
29.04 -1.05 9.75
29.04 -10.65 54.75
29.04 -13.05 45.75
27.56 8.25 41.55
27.56 -10.95 46.05
27.56 10.65 41.55
27.56 -6.15 46.05
27.56 -10.95 68.55
27.56 1.05 73.05
27.56 3.45 73.05
27.56 -1.35 10.05
27.56 -6.15 28.05
27.56 -6.15 14.55
27.56 -10.95 55.05
27.56 -6.15 37.05
27.56 -8.55 46.05
27.56 1.05 10.05
27.56 -8.55 55.05
28.84 7.05 41.55
28.84 9.45 41.55
28.84 -7.35 46.05
28.84 -12.15 68.55
28.84 -0.15 73.05
28.84 2.25 73.05
28.84 -2.55 10.05
28.84 -7.35 28.05
28.84 -7.35 14.55
28.84 -12.15 55.05
28.84 -7.35 37.05
28.84 -9.75 46.05
28.84 -0.15 10.05
28.84 -9.75 55.05
29.18 6.75 41.55
29.18 9.15 41.55
29.18 -7.65 46.05
29.18 -12.45 68.55
29.18 -0.45 73.05
29.18 1.95 73.05
29.18 -2.85 10.05
29.18 -7.65 28.05
29.18 -7.65 14.55
29.18 -12.45 55.05
29.18 -7.65 37.05
29.18 -10.05 46.05
29.18 -0.45 10.05
29.18 -10.05 55.05
28.98 -7.95 46.05
28.98 -12.75 68.55
28.98 -0.75 73.05
28.98 1.65 73.05
28.98 -3.15 10.05
28.98 -7.95 28.05
28.98 -7.95 14.55
28.98 -12.75 55.05
28.98 -7.95 37.05
28.98 -10.35 46.05
28.98 -0.75 10.05
28.98 -10.35 55.05
28.98 -12.75 46.05
31.86 -12.75 46.05
28.98 6.15 41.55
28.98 -8.25 46.05
28.98 -13.05 68.55
28.98 -1.05 73.05
28.98 1.35 73.05
28.98 -3.45 10.05
28.98 -8.25 28.05
28.98 -8.25 14.55
28.98 -13.05 55.05
28.98 -8.25 37.05
28.98 -10.65 46.05
28.98 -1.05 10.05
28.98 -10.65 55.05
28.98 -13.05 46.05
27.34 8.25 42.15
27.34 -10.95 46.65
27.34 10.65 42.15
27.34 -6.15 46.65
27.34 -10.95 69.15
27.34 1.05 73.65
27.34 3.45 73.65
27.34 -1.35 10.65
27.34 -6.15 28.65
27.34 -6.15 15.15
27.34 -10.95 55.65
27.34 -6.15 37.65
27.34 -8.55 46.65
27.34 1.05 10.65
27.34 -8.55 55.65
28.34 7.65 42.15
28.34 10.05 42.15
28.34 -6.75 46.65
28.34 -11.55 69.15
28.34 0.45 73.65
28.34 2.85 73.65
28.34 -1.95 10.65
28.34 -6.75 28.65
28.34 -6.75 15.15
28.34 -11.55 55.65
28.34 -6.75 37.65
28.34 -9.15 46.65
28.28 7.35 42.15
28.28 -11.85 46.65
28.28 9.75 42.15
28.28 -7.05 46.65
28.28 -11.85 69.15
28.28 0.15 73.65
28.28 2.55 73.65
28.28 -2.25 10.65
28.28 -7.05 28.65
28.28 -7.05 15.15
28.28 -11.85 55.65
28.28 -7.05 37.65
28.28 -9.45 46.65
28.28 0.15 10.65
28.72 7.05 42.15
28.72 -7.35 46.65
28.72 -12.15 69.15
28.72 -0.15 73.65
28.72 2.25 73.65
28.72 -2.55 10.65
28.72 -7.35 28.65
28.72 -7.35 15.15
28.72 -12.15 55.65
28.72 -7.35 37.65
28.72 -9.75 46.65
28.72 -0.15 10.65
28.72 -9.75 55.65
29.04 6.75 42.15
29.04 -7.65 46.65
29.04 -12.45 69.15
29.04 -0.45 73.65
29.04 1.95 73.65
29.04 -2.85 10.65
29.04 -7.65 28.65
29.04 -7.65 15.15
29.04 -12.45 55.65
29.04 -7.65 37.65
29.04 -10.05 46.65
29.04 -0.45 10.65
29.04 -10.05 55.65
29.38 -7.95 46.65
29.38 -12.75 69.15
29.38 -0.75 73.65
29.38 1.65 73.65
29.38 -3.15 10.65
29.38 -7.95 28.65
29.38 -7.95 15.15
29.38 -12.75 55.65
29.38 -7.95 37.65
29.38 -10.35 46.65
29.38 -0.75 10.65
29.38 -10.35 55.65
29.38 -12.75 46.65
29.4 -8.25 46.65
29.4 -13.05 69.15
29.4 -1.05 73.65
29.4 1.35 73.65
29.4 -3.45 10.65
29.4 -8.25 28.65
29.4 -8.25 15.15
29.4 -13.05 55.65
29.4 -8.25 37.65
29.4 -10.65 46.65
29.4 -1.05 10.65
29.4 -10.65 55.65
29.4 -13.05 46.65
28.3 6.15 42.15
28.3 8.55 42.15
28.3 -8.25 46.65
28.3 -13.05 69.15
28.3 -1.05 73.65
28.3 1.35 73.65
28.3 -3.45 10.65
28.3 -8.25 28.65
28.3 -8.25 15.15
28.3 -13.05 55.65
28.3 -8.25 37.65
28.3 -10.65 46.65
28.3 -1.05 10.65
28.18 8.25 43.05
28.18 -10.95 47.55
28.18 10.65 43.05
28.18 -6.15 47.55
28.18 -10.95 70.05
28.18 1.05 74.55
28.18 3.45 74.55
28.18 -1.35 11.55
28.18 -6.15 29.55
28.18 -6.15 16.05
28.18 -10.95 56.55
28.18 -6.15 38.55
28.18 -8.55 47.55
28.18 1.05 11.55
28.4 7.05 43.05
28.4 9.45 43.05
28.4 -7.35 47.55
28.4 -12.15 70.05
28.4 -0.15 74.55
28.4 2.25 74.55
28.4 -2.55 11.55
28.4 -7.35 29.55
28.4 -7.35 16.05
28.4 -12.15 56.55
28.4 -7.35 38.55
28.4 -9.75 47.55
28.4 -0.15 11.55
28.4 -9.75 56.55
29.14 6.75 43.05
29.14 -7.65 47.55
29.14 -12.45 70.05
29.14 -0.45 74.55
29.14 1.95 74.55
29.14 -2.85 11.55
29.14 -7.65 29.55
29.14 -7.65 16.05
29.14 -12.45 56.55
29.14 -7.65 38.55
29.14 -10.05 47.55
29.14 -0.45 11.55
29.14 -10.05 56.55
29.4 -7.95 47.55
29.4 -12.75 70.05
29.4 -0.75 74.55
29.4 1.65 74.55
29.4 -3.15 11.55
29.4 -7.95 29.55
29.4 -7.95 16.05
29.4 -12.75 56.55
29.4 -7.95 38.55
29.4 -10.35 47.55
29.4 -0.75 11.55
29.4 -10.35 56.55
29.38 -8.25 47.55
29.38 -13.05 70.05
29.38 -1.05 74.55
29.38 1.35 74.55
29.38 -3.45 11.55
29.38 -8.25 29.55
29.38 -8.25 16.05
29.38 -13.05 56.55
29.38 -8.25 38.55
29.38 -10.65 47.55
29.38 -1.05 11.55
29.38 -10.65 56.55
28.98 -8.25 47.55
28.98 -13.05 70.05
28.98 -1.05 74.55
28.98 1.35 74.55
28.98 -3.45 11.55
28.98 -8.25 29.55
28.98 -8.25 16.05
28.98 -13.05 56.55
28.98 -8.25 38.55
28.98 -10.65 47.55
28.98 -1.05 11.55
28.98 -10.65 56.55
28.14 8.25 43.35
28.14 -10.95 47.85
28.14 10.65 43.35
28.14 -6.15 47.85
28.14 -10.95 70.35
28.14 1.05 74.85
28.14 3.45 74.85
28.14 -1.35 11.85
28.14 -6.15 29.85
28.14 -6.15 16.35
28.14 -10.95 56.85
28.14 -6.15 38.85
28.14 -8.55 47.85
28.14 1.05 11.85
28.76 7.05 43.35
28.76 -12.15 47.85
28.76 9.45 43.35
28.76 -7.35 47.85
28.76 -12.15 70.35
28.76 -0.15 74.85
28.76 2.25 74.85
28.76 -2.55 11.85
28.76 -7.35 29.85
28.76 -7.35 16.35
28.76 -12.15 56.85
28.76 -7.35 38.85
28.76 -9.75 47.85
28.76 -0.15 11.85
28.76 -9.75 56.85
29.2 6.75 43.35
29.2 -7.65 47.85
29.2 -12.45 70.35
29.2 -0.45 74.85
29.2 1.95 74.85
29.2 -2.85 11.85
29.2 -7.65 29.85
29.2 -7.65 16.35
29.2 -12.45 56.85
29.2 -7.65 38.85
29.2 -10.05 47.85
29.2 -0.45 11.85
29.2 -10.05 56.85
29.36 -8.25 47.85
29.36 -13.05 70.35
29.36 -1.05 74.85
29.36 1.35 74.85
29.36 -3.45 11.85
29.36 -8.25 29.85
29.36 -8.25 16.35
29.36 -13.05 56.85
29.36 -8.25 38.85
29.36 -10.65 47.85
29.36 -1.05 11.85
29.36 -10.65 56.85
28.36 8.25 44.25
28.36 -10.95 48.75
28.36 10.65 44.25
28.36 -6.15 48.75
28.36 -10.95 71.25
28.36 1.05 75.75
28.36 3.45 75.75
28.36 -1.35 12.75
28.36 -6.15 30.75
28.36 -6.15 17.25
28.36 -10.95 57.75
28.36 -6.15 39.75
28.36 -8.55 48.75
28.36 1.05 12.75
29.14 -6.45 48.75
29.14 -11.25 71.25
29.14 0.75 75.75
29.14 3.15 75.75
29.14 -1.65 12.75
29.14 -6.45 30.75
29.14 -6.45 17.25
29.14 -11.25 57.75
29.14 -6.45 39.75
29.14 -8.85 48.75
29.14 0.75 12.75
29.14 -8.85 57.75
28.48 7.05 44.25
28.48 9.45 44.25
28.48 -7.35 48.75
28.48 -12.15 71.25
28.48 -0.15 75.75
28.48 2.25 75.75
28.48 -2.55 12.75
28.48 -7.35 30.75
28.48 -7.35 17.25
28.48 -12.15 57.75
28.48 -7.35 39.75
28.48 -9.75 48.75
28.48 -0.15 12.75
29.16 -7.65 48.75
29.16 -12.45 71.25
29.16 -0.45 75.75
29.16 1.95 75.75
29.16 -2.85 12.75
29.16 -7.65 30.75
29.16 -7.65 17.25
29.16 -12.45 57.75
29.16 -7.65 39.75
29.16 -10.05 48.75
29.16 -0.45 12.75
29.16 -10.05 57.75
29.44 -7.95 48.75
29.44 -12.75 71.25
29.44 -0.75 75.75
29.44 1.65 75.75
29.44 -3.15 12.75
29.44 -7.95 30.75
29.44 -7.95 17.25
29.44 -12.75 57.75
29.44 -7.95 39.75
29.44 -10.35 48.75
29.44 -0.75 12.75
29.44 -10.35 57.75
29.44 -12.75 48.75
27.56 6.45 44.25
27.56 -12.75 48.75
27.56 8.85 44.25
27.56 -7.95 48.75
27.56 -12.75 71.25
27.56 -0.75 75.75
27.56 1.65 75.75
27.56 -3.15 12.75
27.56 -7.95 30.75
27.56 -7.95 17.25
27.56 -12.75 57.75
27.56 -7.95 39.75
27.56 -10.35 48.75
29.02 -8.25 48.75
29.02 -13.05 71.25
29.02 -1.05 75.75
29.02 1.35 75.75
29.02 -3.45 12.75
29.02 -8.25 30.75
29.02 -8.25 17.25
29.02 -13.05 57.75
29.02 -8.25 39.75
29.02 -10.65 48.75
29.02 -1.05 12.75
29.02 -10.65 57.75
29.02 -13.05 48.75
27.86 6.15 44.25
27.86 -13.05 48.75
27.86 8.55 44.25
27.86 -8.25 48.75
27.86 -13.05 71.25
27.86 -1.05 75.75
27.86 1.35 75.75
27.86 -3.45 12.75
27.86 -8.25 30.75
27.86 -8.25 17.25
27.86 -13.05 57.75
27.86 -8.25 39.75
27.86 -10.65 48.75
30.24 -8.25 30.75
30.24 -8.25 39.75
30.24 -10.65 48.75
30.24 -10.65 57.75
30.24 -13.05 48.75
